Organisms,Natural resistances to
All Enterobacteriaceae,"Penicillin G, glycopeptides, fusidic acid, macrolides, clindamycin, linezolid, mupirocin"
Acinetobacter baumannii,"Ampicillin, amoxycillin, first-generation cephalosporins"
P. aeruginosa,"Ampicillin, amoxycillin, co-amoxiclav, first-generation cephalosporins, second-generation cephalosporins, cefotaxime, ceftriaxone, nalidixic acid, trimethoprim"
B. cepacia,"Ampicillin, amoxycillin, first-generation cephalosporins, colistin, aminoglycosides"
Stenotrophomonas maltophilia,"All β-lactams except ticarcillin/clavulanate, aminoglycosides"
Flavobacterium (Chryseobacterium),"Ampicillin, amoxycillin, first-generation cephalosporins"
Salmonella spp.,"Cefuroxime, aminoglycosides (active in vitro, not active in vivo)"
Klebsiella spp., Citrobacter diversus,"Ampicillin, amoxycillin, carbenicillin, ticarcillin"
Enterobacter spp., C. freundii,"Ampicillin, amoxycillin, co-amoxiclav, first-generation cephalosporins, cefoxitin"
M. morganii,"Ampicillin, amoxycillin, co-amoxiclav, first-generation cephalosporins, cefuroxime, colistin, nitrofurantoin"
Providencia spp.,"Ampicillin, amoxycillin, co-amoxiclav, first-generation cephalosporins, cefuroxime, gentamicin, netilmicin, tobramycin, colistin, nitrofurantoin"
Proteus mirabilis,"Colistin, nitrofurantoin"
Proteus vulgaris,"Ampicillin, amoxycillin, cefuroxime, colistin, nitrofurantoin"
Serratia spp.,"Ampicillin, amoxycillin, co-amoxiclav, first-generation cephalosporins, cefuroxime, colistin"
Yersinia enterocolitica,"Ampicillin, amoxycillin, carbenicillin, ticarcillin, first-generation cephalosporins"
Campylobacter jejuni,"Trimethoprim"
Campylobacter coli,"Trimethoprim"
H. influenzae,"Penicillin G, erythromycin, clindamycin"
M. catarrhalis,"Trimethoprim"
All Gram-positive bacteria,"Aztreonam, temocillin, colistin, nalidixic acid"
Streptococci,"Fusidic acid, aminoglycosides (except as synergists)"
S. pneumoniae,"Trimethoprim, aminoglycosides"
Methicillin-resistant S. aureus,"All β-lactams"
Enterococci,"Penicillin G, carbenicillin, ticarcillin, all cephalosporins, aminoglycosides, mupirocin"
Listeria,"Third-generation cephalosporins, fluoroquinolones"